Vocabulary,Translation,Good,Wrong
lay,to put something down somewhere,1,
wings,,,
aid,,,
hollow,,,
short fibers resembling hair,,,
bare skin,,,
as far as,hasta,,
descendants,,,
stiff tail,,,
tip of the jaw,,,
toothless,,,
hooked beak,,,
skull,,,
somewhat, She's somewhat more confident than she used to be,,
crest,the top or highest part of something such as a wave or a hill,,
lesser,,,
ground,,,
reaching up to,,,
acknowledge ,,,
beak,the hard part of a bird's mouth,,
diet,,,
flew,,,
head ,"the part of the body above the neck where the eyes, nose, mouth, ears, and brain are",,
downward,,,
to spot prey ,para detectar (to spot),,
Comb-like,,,
shelter,"(a building designed to give) protection from bad weather, danger, or attack",,
wage,,,
triplets,,,
affordable,,,
pledge,"a serious or formal promise, especially one to give money or to be a friend, or something that you give as a sign that you will keep a promise: ",,
under pinnings,bajo los alfileres,,
assortment,a group of different types of something,,
landmasses,,,
broader,,,
root,,,
which in turn,,,
wipe,,,
mainland,,,
a little further away,,,
unknowingly,,,
drop,,,
flooding,,,
continue to thrive,,,
conversely,,,
a volcano cools,,,
cut them off,,,
reveals,,,
cornerstone,,,
that bears their names,,,
they had to cut corners wherever they could,,,
free cones,a solid shape with a round bottom and a pointed top,,
every penny,,,
to squeeze out,,,
preoccupy,"to be the main thought in someone's mind, causing other things to be forgotten",,
encompassed,,,
methods that lessened,,,
over time,,,
golden eagle,,,
bald eagle,,,
carrying prayers,,,
revere,to very much respect and admire someone or something,,
fondness,,,
nesting,fitting inside each other - Birds - a place in which to lay and incubate its eggs ,,
sightings,"an occasion when you see something or someone, especially something that is rare or trying to hide",,
misleading,,,
feathers,,,
odd moniker,,,
white spot,,,
whitening,a substance that you put on sports shoes to make them whiter and cleaner,,
sharply,,,
soar ,,,
and dive,,,
swoop down on prey,,,
hollow,,,
waterproof,,,
to attract mates,,,
harmful effect,"in danger of being harmed, lost, unsuccessful, etc.:  (peligro de extincion)",,
endangered tenfold increase over,,,
endangered species list,,,
in spite of,,,
despite,,,
upon,,,
mainstream ,,,
than breaking away,,,
emanating,to express a quality or feeling through the way that you look and behave,,
stripped away,,,
certain longstanding,,,
truths,,,
far less certain ,,,
turned away,,,
sprites,,,
consumerism,,,
reliance,,,
strikingly,"in a way that is very unusual or easily noticed, and therefore attracts a lot of attention",,
depictions ,,,
somehow,,,
convey,,,
Chart,,,
veto,,,
reconvened,,,
to come up,,,
fairer solution,,,
ostensibly,in a way that appears or claims to be one thing when it is really something else:,,
ultimately,,,
gentlemen assembled,,,
lawmakers,,,
enact,,,
whichever,any one from a limited set,,
this spirit of check and balances,,,
whereby,,,
assert,,,
bill,,,
vastly,,,
unwieldy,,,
has swelled to well over,a aumentado demasiado,,
afterward,,,
strip,"to remove, pull, or tear the covering or outer layer from something",,
resemble,to look like or be like someone or something,,
swoop,"to move very quickly and easily through the air, especially down from a high position in order to attack",,
brave,,,
tail (coin) - head,,,
tip,"to (cause to) move so that one side is higher than another side, tip verb (ONE SIDE HIGHER) ",,
tip,to give someone who has provided you with a service an extra amount of money to thank them,,
Long-standing,having existed for a long time,,
lessen,"If something lessens or is lessened, it becomes less strong",,
spot,"a small, usually round area of colour that is differently coloured or lighter or darker than the surface around it (macha)",,
prey,,,
